,"aluminium, primary, ingot","aluminium, primary, liquid","aluminium alloy, AlMg3","aluminium removed by milling, dressing","electricity, medium voltage, aluminium industry",hydraulic fracturing fluid,lubricating oil,"natural gas, low pressure",tap water,scrap aluminium,"aluminium oxide, metallurgical","nitrogen, liquid","sodium chloride, powder","wastewater, average","aluminium removed by drilling, conventional","aluminium removed by milling, dressing.1","aluminium removed by turning, average, conventional","aluminium removed by turning, primarily roughing, conventional","steel, chromium steel 18/8, hot rolled",waste aluminium,"aluminium removed by drilling, computer numerical controlled","aluminium removed by milling, large parts","aluminium removed by milling, small parts","aluminium removed by turning, primarily roughing, computer numerical controlled","electricity, high voltage, aluminium industry","electricity, high voltage, for internal use in coal mining","electricity, low voltage","electricity, medium voltage","electricity, medium voltage, label-certified","natural gas, high pressure","natural gas, medium pressure, vehicle grade","natural gas, liquefied","wire drawing, steel",nylon 6-6,glass fibre,"wire drawing, steel.1","impact extrusion of steel, cold, 3 strokes","impact extrusion of aluminium, 3 strokes",injection moulding,"steel, unalloyed",chromium steel pipe,scrap steel,"steel, low-alloyed, hot rolled","steel, low-alloyed","steel, chromium steel 18/8","chromium steel removed by drilling, conventional","steel removed by turning, primarily dressing, computer numerical controlled","chromium steel removed by milling, average"
10,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_CN","aluminium production, primary, liquid, Söderberg | aluminium, primary, liquid | Cutoff, S_IAI Area, South America",,,"electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, Africa",,,,"tap water production, conventional treatment | tap water | Cutoff, S_PE",,"aluminium oxide production | aluminium oxide, metallurgical | Cutoff, S_CN",,,"treatment of wastewater, average, capacity 5E9l/year | wastewater, average | Cutoff, S_CH",,,,,,,,,,,"electricity production, nuclear, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_RoW",,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-NX","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_TW",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_PL",,,,,,,,,,,,"clinker production | scrap steel | Cutoff, S_RoW",,,,,,
11,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_UN-OCEANIA","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_IAI Area, South America",,,"market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_CA",,,,"tap water production, direct filtration treatment | tap water | Cutoff, S_Europe without Switzerland",,"aluminium oxide production | aluminium oxide, metallurgical | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA",,,"market for wastewater, average | wastewater, average | Cutoff, S_RoW",,,,,,,,,,,"electricity production, coal, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Asia, without China and GCC",,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-GS","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_DE",,"natural gas, high pressure, import from GB | natural gas, high pressure | Cutoff, S_CH",,,,,,,,,,,,"treatment of scrap steel, inert material landfill | scrap steel | Cutoff, S_CH",,,,,,
12,"aluminium, ingot, primary, import from Asia (excluding China) | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_IAI Area, EU27 & EFTA",,,"market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, Gulf Cooperation Council",,,,"tap water production, conventional with biological treatment | tap water | Cutoff, S_CO",,,,,"treatment of wastewater, average, capacity 1.6E8l/year | wastewater, average | Cutoff, S_CH",,,,,,,,,,,"electricity production, natural gas, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, South America",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_ME","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_AT",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_HU",,,,,,,,,,,,,,,,,,
13,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA",,,"electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_CA",,,,"market for tap water | tap water | Cutoff, S_IN",,,,,"treatment of wastewater, average, capacity 4.7E10l/year | wastewater, average | Cutoff, S_CA-QC",,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, EU27 & EFTA",,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CA-NU","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_NZ",,"natural gas, high pressure, import from DZ | natural gas, high pressure | Cutoff, S_NL",,,,,,,,,,,,,,,,,,
14,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, Asia, without China and GCC","market for aluminium, primary, liquid | aluminium, primary, liquid | Cutoff, S_GLO",,,"market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, Africa",,,,"market group for tap water | tap water | Cutoff, S_GLO",,,,,"market for wastewater, average | wastewater, average | Cutoff, S_Europe without Switzerland",,,,,,,,,,,"electricity production, natural gas, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, EU27 & EFTA",,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-TN","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_UZ",,"natural gas, high pressure, import from DZ | natural gas, high pressure | Cutoff, S_FR",,,,,,,,,,,,,,,,,,
15,"aluminium, ingot, primary, import from unspecified | aluminium, primary, ingot | Cutoff, S_IAI Area, North America","aluminium production, primary, liquid, prebake | aluminium, primary, liquid | Cutoff, S_IAI Area, Africa",,,"electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, South America",,,,"tap water production, conventional with biological treatment | tap water | Cutoff, S_RoW",,,,,"treatment of wastewater, average, capacity 1E9l/year | wastewater, average | Cutoff, S_Europe without Switzerland",,,,,,,,,,,"electricity production, hydro, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_CA",,"biomethane, low pressure burned in solid oxide fuel cell, with micro gas turbine, 180kWe, future | electricity, low voltage | Cutoff, S_CH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_SN",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_NL",,,,,,,,,,,,,,,,,,
16,"aluminium, ingot, primary, import from Middle East (Gulf cooperation Council) | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",,,,"electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_CN",,,,"tap water production, microstrainer treatment | tap water | Cutoff, S_Europe without Switzerland",,,,,"treatment of wastewater, average, capacity 1E9l/year | wastewater, average | Cutoff, S_CA-QC",,,,,,,,,,,"electricity production, coal, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Africa",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_KE","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_RoW",,"natural gas production | natural gas, high pressure | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,
17,"aluminium, ingot, primary, import from South America | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",,,,"market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, South America",,,,"tap water production, seawater reverse osmosis, conventional pretreatment, enhance module, two stages | tap water | Cutoff, S_GLO",,,,,,,,,,,,,,,,"electricity production, oil, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, EU27 & EFTA",,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HN","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_ZM",,"natural gas, high pressure, import from NL | natural gas, high pressure | Cutoff, S_PL",,,,,,,,,,,,,,,,,,
18,"aluminium, ingot, primary, import from South America | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",,,,"market for electricity, medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_CN",,,,"tap water production, underground water with disinfection | tap water | Cutoff, S_BR",,,,,,,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA",,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-NX","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_TR",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_DE",,,,,,,,,,,,,,,,,,
19,"market for aluminium, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",,,,"electricity voltage transformation from high to medium voltage, aluminium industry | electricity, medium voltage, aluminium industry | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA",,,,"tap water production, underground water without treatment | tap water | Cutoff, S_IN",,,,,,,,,,,,,,,,"electricity production, coal, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_CN",,"electricity production, photovoltaic, 3kWp flat-roof installation, single-Si | electricity, low voltage | Cutoff, S_CH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_MK",,"natural gas, high pressure, import from DZ | natural gas, high pressure | Cutoff, S_GR",,,,,,,,,,,,,,,,,,
20,"aluminium, ingot, primary, import from Oceania | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",,,,,,,,"tap water production, conventional treatment | tap water | Cutoff, S_CO",,,,,,,,,,,,,,,,"electricity production, coal, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_RNA",,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_TJ","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_MT",,"evaporation of natural gas | natural gas, high pressure | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,
21,"aluminium, ingot, primary, import from Africa | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",,,,,,,,"tap water production, direct filtration treatment | tap water | Cutoff, S_IN",,,,,,,,,,,,,,,,"electricity, high voltage, aluminium industry, production mix | electricity, high voltage, aluminium industry | Cutoff, S_GLO",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BG","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_NI",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_DZ",,,,,,,,,,,,,,,,,,
22,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, Gulf Cooperation Council",,,,,,,,"tap water production, seawater reverse osmosis, ultrafiltration pretreatment, enhance module, single stage | tap water | Cutoff, S_GLO",,,,,,,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_RoW",,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-TJ","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_ZA",,"natural gas, high pressure, import from GB | natural gas, high pressure | Cutoff, S_IE",,,,,,,,,,,,,,,,,,
23,"aluminium, ingot, primary, import from Africa | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",,,,,,,,"tap water production, artificial recharged wells | tap water | Cutoff, S_RoW",,,,,,,,,,,,,,,,"electricity production, coal, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_UN-OCEANIA",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_TT","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_MZ",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_BE",,,,,,,,,,,,,,,,,,
24,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_CA",,,,,,,,"tap water production, direct filtration treatment | tap water | Cutoff, S_CH",,,,,,,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_CA",,"natural gas, burned in polymer electrolyte membrane fuel cell 2kWe, future | electricity, low voltage | Cutoff, S_CH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_GA",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_ES",,,,,,,,,,,,,,,,,,
25,"aluminium, ingot, primary, import from Rest of Europe | aluminium, primary, ingot | Cutoff, S_IAI Area, EU27 & EFTA",,,,,,,,"tap water production, microstrainer treatment | tap water | Cutoff, S_RoW",,,,,,,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Gulf Cooperation Council",,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_BG","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_EG",,"petroleum and gas production, on-shore | natural gas, high pressure | Cutoff, S_CA-AB",,,,,,,,,,,,,,,,,,
26,"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, S_RoW",,,,,,,,"tap water production, underground water with disinfection | tap water | Cutoff, S_Europe without Switzerland",,,,,,,,,,,,,,,,"electricity production, hydro, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Asia, without China and GCC",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-QC","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_ER",,"natural gas, high pressure, import from NL | natural gas, high pressure | Cutoff, S_FR",,,,,,,,,,,,,,,,,,
27,"market for aluminium, primary, ingot | aluminium, primary, ingot | Cutoff, S_IAI Area, North America",,,,,,,,"tap water production, underground water with disinfection | tap water | Cutoff, S_CO",,,,,,,,,,,,,,,,"electricity production, coal, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_PH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_KH",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_FI",,,,,,,,,,,,,,,,,,
28,,,,,,,,,"tap water production, underground water without treatment | tap water | Cutoff, S_CA-QC",,,,,,,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, South America",,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_CN","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_ZW",,"petroleum and gas production, off-shore | natural gas, high pressure | Cutoff, S_NL",,,,,,,,,,,,,,,,,,
29,,,,,,,,,"market for tap water | tap water | Cutoff, S_Europe without Switzerland",,,,,,,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Asia, without China and GCC",,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_GR","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_KR",,"natural gas, high pressure, import from NL | natural gas, high pressure | Cutoff, S_GB",,,,,,,,,,,,,,,,,,
30,,,,,,,,,"market for tap water | tap water | Cutoff, S_ZA",,,,,,,,,,,,,,,,"electricity production, oil, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Gulf Cooperation Council",,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_QA","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_LK",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_ES",,,,,,,,,,,,,,,,,,
31,,,,,,,,,"tap water production, conventional treatment | tap water | Cutoff, S_BR",,,,,,,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Africa",,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_ZW","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CD",,"petroleum and gas production, on-shore | natural gas, high pressure | Cutoff, S_NG",,,,,,,,,,,,,,,,,,
32,,,,,,,,,"tap water production, underground water without treatment | tap water | Cutoff, S_CO",,,,,,,,,,,,,,,,"electricity production, hydro, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_IAI Area, Russia & RER w/o EU27 & EFTA",,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_BE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_RU",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_AT",,,,,,,,,,,,,,,,,,
33,,,,,,,,,"tap water production, direct filtration treatment | tap water | Cutoff, S_BR",,,,,,,,,,,,,,,,"electricity production, oil, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_UN-OCEANIA",,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_RU","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_LY",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_FR",,,,,,,,,,,,,,,,,,
34,,,,,,,,,"tap water production, conventional treatment | tap water | Cutoff, S_IN",,,,,,,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_CN",,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_US-RFC","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_FI",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_SK",,,,,,,,,,,,,,,,,,
35,,,,,,,,,"tap water production, underground water with chemical treatment | tap water | Cutoff, S_RoW",,,,,,,,,,,,,,,,"market for electricity, high voltage, aluminium industry | electricity, high voltage, aluminium industry | Cutoff, S_UN-OCEANIA",,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-JH","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_TR",,"market group for natural gas, high pressure | natural gas, high pressure | Cutoff, S_GLO",,,,,,,,,,,,,,,,,,
